ean - SupabaseID + Shopify ID,∞ Shopify Id,prix_achat,produit_en_ligne_nom_du_produit,produit_en_ligne_ddm,produit_en_ligne_stock_actuel,produit_en_ligne_prix_public,produit_en_ligne_rayon,produit_en_ligne_prix_vente,produit_en_ligne_sous_rayon,produit_en_ligne_categorie,quantite_vendue,Date première vente visible
3335440226305 - Le manoir des abeilles  - Petits financiers au caramel beurre salé - 200g - 114642 - 10135984308551,10135984308551,€1.41,Petits financiers au caramel beurre salé - 200g,15/7/2025,96,€4.40,Épicerie sucrée,€3.52,Biscuits et gâteaux,Biscuits nature et fruit,0,
3760087788334 - Palais des Mets - Terrine de canard au piment d'Espelette - 90g - 114641 - 10135984341319,10135984341319,€1.00,Terrine de canard au piment d'Espelette - 90g,2/8/2026,90,€3.70,Épicerie salée,€2.96,Apéritifs,Tartinades,0,
3264221612863 - Embal'Four - Papier de cuisson - 15m x 30cm - 3732 - 7660526797055,7660526797055,€1.12,Papier de cuisson - 15m x 30cm,,220,€3.03,Maison,€2.73,Accessoires ménagers,Cuisson/ emballage/ conservation,143,2023-09-15 08:45
3760259130503 - Airchips - Chips pomme de terre bio - 30g - 906 - 8917059043655,8917059043655,€0.65,Chips pomme de terre bio - 30g,28/2/2025,54,€2.20,Épicerie salée,€1.10,Apéritifs,Chips et gâteaux,119,2024-12-12 11:37
3229820803272 - Tanoshi - Nouilles de riz précuites pour soupe Pho saveur poulet - 380g - 3620 - 8839069434183,8839069434183,€0.00,Nouilles de riz précuites pour soupe Pho saveur poulet - 380g,23/4/2025,166,€4.19,Épicerie salée,€2.93,Conserves/bocaux et plats cuisinés,Plats préparés,268,2024-01-10 13:59
"5060229013798 - Pukka - Infusion camomille, vanille, miel de manuka bio - 20 sachets - 2698 - 7549553737983",7549553737983,€1.13,"Infusion camomille, vanille, miel de manuka bio - 20 sachets",30/3/2027,144,€5.98,Boissons,€4.78,Boissons chaudes,Infusions et tisanes,82,2025-01-19 19:50
3770000506952 - Id Bio - Sumac bio - 40g - 5145 - 7754873667839,7754873667839,€1.78,Sumac bio - 40g,30/6/2027,1,€5.14,Épicerie salée,€4.37,Épices et condiments,Épices et aromates,32,2023-11-04 20:41
3760279060132 - La Nouvelle Botanique - Soin crème hydratant 2 en 1 à la citronnelle - 4948 - 8447117295943,8447117295943,€3.97,Soin crème hydratant 2 en 1 à la citronnelle,,4,€15.90,Hygiène et santé,€9.54,Corps,Crèmes/ soins/ exfoliants,3,2025-02-16 18:21
3396413710092 - Bonneterre - Tartelettes chocolat noir bio - 125g - 5228 - 7873797914879,7873797914879,€1.00,Tartelettes chocolat noir bio - 125g,16/6/2025,1512,€3.99,Épicerie sucrée,€2.39,Biscuits et gâteaux,Biscuits au chocolat,337,2025-02-24 16:40
3760311310034 - Lamazuna - Oriculi biosourcé fabriqué en France - 3660 - 7949103268095,7949103268095,€0.68,Oriculi biosourcé fabriqué en France,,142,€4.50,Hygiène et santé,€2.70,Visage,Cotons et coton-tiges,30,2025-01-11 12:07
3760308960082 - Biodyssée - Thé Glacé citron bio - 50cl - 5306 - 7754874257663,7754874257663,€0.63,Thé Glacé citron bio - 50cl,2/3/2025,158,€2.10,Boissons,€1.47,Sirop/thés glacés/sodas,Thés et infusions glacées,76,2024-05-05 10:52
3770000505412 - Id Bio - Poivre noir en poudre bio - 40g - 4050 - 7972022452479,7972022452479,€1.22,Poivre noir en poudre bio - 40g,31/5/2027,48,€4.29,Épicerie salée,€3.43,Épices et condiments,Épices et aromates,11,2024-02-01 18:04
3760308961355 - Biodyssée - Mélange pour pâtes bio - 40g - 3286 - 8925316350279,8925316350279,€0.96,Mélange pour pâtes bio - 40g,30/9/2025,250,€4.90,Épicerie salée,€3.92,Épices et condiments,Épices et aromates,20,2024-04-04 19:33
3700763500294 - Dodie - Biberon initial bleu D1 - 150ml - 288 - 9002933354823,9002933354823,€1.60,Biberon initial bleu D1 - 150ml,,12,€5.70,Bébé,€3.99,Alimentation bébé,Laits infantiles,1,2024-06-07 22:22
3229820765365 - Tanoshi - Ramen au boeuf - 360g - 4296 - 7911163789567,7911163789567,€1.05,Ramen au boeuf - 360g,15/7/2025,144,€3.49,Épicerie salée,€3.14,Pâtes/riz et légumineuses,Pâtes,44,2024-04-21 18:25
3701037403075 - Bravo Hugo - Cornichons au vinaigre de cidre bio - 660g - 1307 - 8665352732999,8665352732999,€2.00,Cornichons au vinaigre de cidre bio - 660g,7/7/2025,235,€9.21,Épicerie salée,€5.99,Épices et condiments,Cornichons/ pickles/ câpres,65,2025-03-25 16:13
3760308961379 - Biodyssée - Mélange tandoori bio - 40g - 3289 - 8925316383047,8925316383047,€1.13,Mélange tandoori bio - 40g,30/9/2025,197,€4.99,Épicerie salée,€3.99,Épices et condiments,Épices et aromates,9,2024-05-07 17:12
3489940460087 - Dermatherm - Eau micellaire nettoyante et démaquillante bio - 150ml - 1809 - 9057986871623,9057986871623,€3.63,Eau micellaire nettoyante et démaquillante bio - 150ml,,7,€15.79,Hygiène et santé,€11.05,Visage,Nettoyants et démaquillants,7,2024-07-01 22:10
3700655001991 - Les tendances d'Emma - Kit en bois carrés démaquillants lavables - 15 unités - 2827 - 8378817413447,8378817413447,€5.91,Kit en bois carrés démaquillants lavables - 15 unités,,11,€27.90,Hygiène et santé,€19.53,Visage,Accessoires visage,3,2025-03-23 21:00
5060229013767 - Pukka - Infusion trois gingembres bio - 20 Infusettes - 2741 - 7549553606911,7549553606911,€1.95,Infusion trois gingembres bio - 20 Infusettes,30/4/2027,29,€5.49,Boissons,€4.39,Boissons chaudes,Infusions et tisanes,7,2025-04-15 08:46
3770000506631 - Id Bio - Muscade entière bio - 30g - 3525 - 7670560981247,7670560981247,€1.34,Muscade entière bio - 30g,31/5/2027,95,€3.91,Épicerie salée,€3.52,Épices et condiments,Épices et aromates,59,2024-01-07 21:14
3489940061222 - Cosmo Naturel - Base pour masque capillaire bio - 200ml - 226 - 8452873978183,8452873978183,€2.11,Base pour masque capillaire bio - 200ml,,3,€6.95,Hygiène et santé,€4.89,Corps,DIY,2,2025-04-12 15:45
3396411234972 - Evernat - Barquettes O'fraises bio - 120g - 165 - 7985412374783,7985412374783,€1.04,Barquettes O'fraises bio - 120g,29/5/2025,242,€3.80,Épicerie sucrée,€3.04,Biscuits et gâteaux,Biscuits nature et fruit,10,2025-03-31 18:31
8410376037883 - Gullon - Cookies aux pépites de chocolat - 130g - 1253 - 8676034052423,8676034052423,€0.90,Cookies aux pépites de chocolat - 130g,9/7/2025,66,€3.29,Épicerie sucrée,€2.80,Biscuits et gâteaux,Biscuits au chocolat,180,2024-11-14 14:03
3175681293144 - Gerlinéa - Barres chocolat orange - 62g - 217 - 8629137768775,8629137768775,€0.73,Barres chocolat orange - 62g,30/6/2025,147,€2.20,Épicerie sucrée,€1.98,Biscuits et gâteaux,Barres de céréales et energy balls,45,2025-02-02 15:35
3770015013940 - Biodyssée - Poivre blanc entier bio - 500g - 4040 - 8925316809031,8925316809031,€3.36,Poivre blanc entier bio - 500g,28/2/2027,81,€19.75,Épicerie salée,€15.80,Épices et condiments,Épices et aromates,44,2024-04-16 19:15
3264221618469 - Embal'Froid - Sacs zip congélation - 27x28 cm - x20 - 4539 - 8950863528263,8950863528263,€0.94,Sacs zip congélation - 27x28 cm - x20,,251,€3.90,Maison,€3.12,Accessoires ménagers,Cuisson/ emballage/ conservation,18,2024-01-07 20:57
3489940074000 - Cosmo Naturel - Lait corporel tous types de peaux bio - 200ml - 2864 - 9057986052423,9057986052423,€3.48,Lait corporel tous types de peaux bio - 200ml,,39,€13.90,Hygiène et santé,€11.12,Corps,Crèmes/ soins/ exfoliants,1,2025-03-14 19:43
